,date_beach_address,height_low_tide_max,height_low_tide_min,height_low_tide_mean,date,beach_address,beach_name,country_state,country,latitude,longitude
528,2020-04-27|Moodie Beach New South Wales AUSTRALIA,-0.47270534572997,-0.5067585720003043,-0.4897319588651371,2020-04-27,Moodie Beach New South Wales AUSTRALIA,Moodie Beach,New South Wales,AUSTRALIA,-30.210286,153.15729
529,2020-04-27|Mooloolaba Beach Queensland AUSTRALIA,-0.44282933020200904,-0.5530600928839352,-0.49794471154297215,2020-04-27,Mooloolaba Beach Queensland AUSTRALIA,Mooloolaba Beach,Queensland,AUSTRALIA,-26.680943699999997,153.12166499999998
530,2020-04-27|Mooloolaba Queensland AUSTRALIA,-0.44282933020200904,-0.5530600928839352,-0.49794471154297215,2020-04-27,Mooloolaba Queensland AUSTRALIA,Mooloolaba,Queensland,AUSTRALIA,-26.682,153.118
531,2020-04-27|Moonee Beach New South Wales AUSTRALIA,-0.47270534572997,-0.5067585720003043,-0.4897319588651371,2020-04-27,Moonee Beach New South Wales AUSTRALIA,Moonee Beach,New South Wales,AUSTRALIA,-30.1895467,153.1501948
532,2020-04-27|Moore Park north of Bundaberg Queensland AUSTRALIA,-0.6749212507791054,-0.8046298860696415,-0.7397755684243734,2020-04-27,Moore Park north of Bundaberg Queensland AUSTRALIA,Moore Park,Queensland,AUSTRALIA,-24.850489899999996,152.3506485
533,2020-04-27|Mordialloc Victoria AUSTRALIA,-0.05958032675356648,-0.4024104664191516,-0.23099539658635906,2020-04-27,Mordialloc Victoria AUSTRALIA,Mordialloc,Victoria,AUSTRALIA,-37.999541799999996,145.0940302
534,2020-04-27|Moreton Bay NE of Brisbane Queensland AUSTRALIA,-0.6791259444098028,-0.767246717329759,-0.7231863308697809,2020-04-27,Moreton Bay NE of Brisbane Queensland AUSTRALIA,Moreton Bay,Queensland,AUSTRALIA,-27.3123953,153.3446649
535,2020-04-27|Moreton Bay Queensland AUSTRALIA,-0.6791259444098028,-0.767246717329759,-0.7231863308697809,2020-04-27,Moreton Bay Queensland AUSTRALIA,Moreton Bay,Queensland,AUSTRALIA,-27.3123953,153.3446649
536,2020-04-27|Moreton Island Queensland AUSTRALIA,-0.49192852091393113,-0.596245857144214,-0.5440871890290726,2020-04-27,Moreton Island Queensland AUSTRALIA,Moreton Island,Queensland,AUSTRALIA,-27.0873207,153.41542330000001
537,2020-04-27|Mornington Island Gulf of Carpentaria Queensland AUSTRALIA,-0.9134837473855564,-0.9134837473855564,-0.9134837473855564,2020-04-27,Mornington Island Gulf of Carpentaria Queensland AUSTRALIA,Mornington Island,Queensland,AUSTRALIA,-16.5174872,139.4059435
538,2020-04-27|Mornington Island Queensland AUSTRALIA,-0.9134837473855564,-0.9134837473855564,-0.9134837473855564,2020-04-27,Mornington Island Queensland AUSTRALIA,Mornington Island,Queensland,AUSTRALIA,-16.5174872,139.4059435
539,2020-04-27|Mount Martha Beach Victoria AUSTRALIA,-0.06094242922385109,-0.40519413602319615,-0.2330682826235236,2020-04-27,Mount Martha Beach Victoria AUSTRALIA,Mount Martha Beach,Victoria,AUSTRALIA,-38.263749600000004,145.0158385
540,2020-04-27|Mowarry Point New South Wales AUSTRALIA,-0.3011628292418225,-0.513410843911304,-0.4072868365765633,2020-04-27,Mowarry Point New South Wales AUSTRALIA,Mowarry Point,New South Wales,AUSTRALIA,-37.1406048,150.0047629
541,2020-04-27|Mudjimba Island Queensland AUSTRALIA,-0.44205138214044337,-0.5530159056621018,-0.4975336439012726,2020-04-27,Mudjimba Island Queensland AUSTRALIA,Mudjimba Island,Queensland,AUSTRALIA,-26.6146347,153.1144871
542,2020-04-27|Mullaloo Beach Perth Western Australia AUSTRALIA,-0.11613582566406466,-0.20501137990904159,-0.16057360278655314,2020-04-27,Mullaloo Beach Perth Western Australia AUSTRALIA,Mullaloo Beach,Western Australia,AUSTRALIA,-31.7789355,115.7325558
543,2020-04-27|Mullaway Headland New South Wales AUSTRALIA,-0.47487318685514607,-0.5058137719076956,-0.49034347938142087,2020-04-27,Mullaway Headland New South Wales AUSTRALIA,Mullaway Headland,New South Wales,AUSTRALIA,-30.080607300000004,153.19585039999998
544,2020-04-27|Murwillumbah Tweed River New South Wales AUSTRALIA,-0.46777007377317753,-0.510006431290932,-0.4888882525320548,2020-04-27,Murwillumbah Tweed River New South Wales AUSTRALIA,Murwillumbah,New South Wales,AUSTRALIA,-28.332256800000003,153.3827556
545,2020-04-27|Mutton Bird Island Albany Western Australia AUSTRALIA,-0.16451256038702436,-0.17930108077752854,-0.17190682058227647,2020-04-27,Mutton Bird Island Albany Western Australia AUSTRALIA,Mutton Bird Island,Western Australia,AUSTRALIA,-35.0508428,117.69298300000001
546,2020-04-27|Nambucca New South Wales AUSTRALIA,-0.4647841018531979,-0.506580467203698,-0.48568228452844797,2020-04-27,Nambucca New South Wales AUSTRALIA,Nambucca,New South Wales,AUSTRALIA,-30.666463,152.73238840000002
547,2020-04-27|Nambucca River Entrance New South Wales AUSTRALIA,-0.46582764454171693,-0.5064858808523705,-0.48615676269704367,2020-04-27,Nambucca River Entrance New South Wales AUSTRALIA,Nambucca River Entrance,New South Wales,AUSTRALIA,-30.6419702,152.9978834
548,2020-04-27|Native Dog Beach Western Australia AUSTRALIA,-0.17209012652610403,-0.19883280082353086,-0.18546146367481744,2020-04-27,Native Dog Beach Western Australia AUSTRALIA,Native Dog Beach,Western Australia,AUSTRALIA,-34.450121,119.35602220000001
549,2020-04-27|Near Albany Western Australia AUSTRALIA,-0.175302767664588,-0.1765019922949707,-0.17590237997977937,2020-04-27,Near Albany Western Australia AUSTRALIA,Near Albany,Western Australia,AUSTRALIA,-35.0269344,117.8837206
550,2020-04-27|Near Asbestos Works Camellia Parramatta River New South Wales AUSTRALIA,-0.3729549192866717,-0.5287400255451896,-0.45084747241593065,2020-04-27,Near Asbestos Works Camellia Parramatta River New South Wales AUSTRALIA,Near Asbestos Works,New South Wales,AUSTRALIA,-33.858772200000004,151.1770866
551,2020-04-27|Near Barrow Point Queensland AUSTRALIA,-1.0335381465370435,-1.0335381465370435,-1.0335381465370435,2020-04-27,Near Barrow Point Queensland AUSTRALIA,Near Barrow Point,Queensland,AUSTRALIA,-20.9175738,142.7027956
