,date_beach_address,height_fall_max,height_fall_min,height_fall_mean,height_fall_median,height_fall_std,height_fall_var,height_fall_sem,date,beach_address,beach_name,country_state,country,latitude,longitude
10,2020-04-27|200 km east of Coolangatta Queensland AUSTRALIA,0.6151905787078243,-0.509811920286811,-0.11430317986268868,-0.18022728477441158,0.354919942241828,0.12596816540094252,0.10245656209704292,2020-04-27,200 km east of Coolangatta Queensland AUSTRALIA,200 km east of Coolangatta,Queensland,AUSTRALIA,-28.166666999999997,153.533333
11,2020-04-27|200 miles offshore Queensland AUSTRALIA,1.1270540225287786,-1.0331278157838828,-0.09884983307480924,-0.26085552021182545,0.7920646373241557,0.6273663896994462,0.21168817864616785,2020-04-27,200 miles offshore Queensland AUSTRALIA,200 miles offshore,Queensland,AUSTRALIA,-20.9175738,142.7027956
12,2020-04-27|26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,0.602426480686844,-0.5133350337948126,-0.12531952091601228,-0.20290666681158073,0.35120614786029014,0.12334575829486398,0.10589263786533294,2020-04-27,26 nautical miles out to sea off Lake Macquarie New South Wales AUSTRALIA,26 nautical miles out to sea off Lake Macquarie,New South Wales,AUSTRALIA,-31.433333,152.9
13,2020-04-27|3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,0.640356536963896,-0.4387155102405524,-0.0041520994644989135,-0.1076076630550621,0.35603299601157745,0.12675949424897992,0.1027778730438366,2020-04-27,3 km off Port Victoria Yorke Peninsula South Australia AUSTRALIA,3 km off Port Victoria,South Australia,AUSTRALIA,-34.496666999999995,137.48333300000002
14,2020-04-27|3 km west of Rottnest Island Western Australia AUSTRALIA,0.2773162979630365,-0.20186941635238717,-0.00820731021162363,-0.049907593995282995,0.18259181721808648,0.0333397717150031,0.05774060245183029,2020-04-27,3 km west of Rottnest Island Western Australia AUSTRALIA,3 km west of Rottnest Island,Western Australia,AUSTRALIA,-32.0063677,115.5073002
15,2020-04-27|3 miles out to sea off Glenelg South Australia AUSTRALIA,1.072273089807045,-0.8009407022218922,-0.06834621577440712,-0.23555353151781958,0.635911336296832,0.40438322763082263,0.19173448203910026,2020-04-27,3 miles out to sea off Glenelg South Australia AUSTRALIA,3 miles out to sea off Glenelg,South Australia,AUSTRALIA,-34.982,138.516
16,2020-04-27|5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,0.5432508610140246,-0.5245469132730008,-0.1031157539189728,-0.15429642873778976,0.31832755982111915,0.1013324353416682,0.09189325117659992,2020-04-27,5 miles south of Sussex Inlet at mouth of Berara Lake New South Wales AUSTRALIA,5 miles south of Sussex Inlet at mouth of Berara Lake,New South Wales,AUSTRALIA,-35.206926200000005,150.5515985
17,2020-04-27|5 nm off Cervantes Western Australia AUSTRALIA,1.5293635885815073,-2.181840373770183,-0.2999084379723735,-0.3479753298629677,1.1866312763877447,1.4080937861016083,0.34255094342564685,2020-04-27,5 nm off Cervantes Western Australia AUSTRALIA,5 nm off Cervantes,Western Australia,AUSTRALIA,34.5199402,-105.87009009999998
18,2020-04-27|50 km east of Townsville Queensland AUSTRALIA,0.451749636007571,-0.6656952904707762,-0.13937865489187398,-0.09317588531034963,0.3656832784897204,0.1337242601669904,0.10556366963709247,2020-04-27,50 km east of Townsville Queensland AUSTRALIA,50 km east of Townsville,Queensland,AUSTRALIA,-19.2589635,146.8169483
19,2020-04-27|55 miles south of Adelaide South Australia AUSTRALIA,1.072273089807045,-0.8009407022218922,-0.06834621577440712,-0.23555353151781958,0.635911336296832,0.40438322763082263,0.19173448203910026,2020-04-27,55 miles south of Adelaide South Australia AUSTRALIA,55 miles south of Adelaide,South Australia,AUSTRALIA,-34.9284989,138.6007456
20,2020-04-27|6 km off Collendina south of Melbourne Victoria AUSTRALIA,0.27678660017792356,-0.3929409448659406,-0.02176422190167191,-0.006164708273513476,0.21478970601433756,0.04613461780972555,0.055458463622021094,2020-04-27,6 km off Collendina south of Melbourne Victoria AUSTRALIA,6 km off Collendina,Victoria,AUSTRALIA,-37.835,144.96
21,2020-04-27|7 Mile Beach Gerroa New South Wales AUSTRALIA,0.555055123035143,-0.5281448410364892,-0.09213865266258589,-0.1008354125568316,0.3315509855660645,0.10992605602982872,0.0999663834541068,2020-04-27,7 Mile Beach Gerroa New South Wales AUSTRALIA,7 Mile Beach,New South Wales,AUSTRALIA,-34.7699,150.813133
22,2020-04-27|7 km off Trigg surf beach Perth Western Australia AUSTRALIA,0.2823720776529216,-0.2023623234769587,-0.005708457843187362,-0.04706133008059299,0.1850196717257768,0.03423227892551421,0.058508357459011104,2020-04-27,7 km off Trigg surf beach Perth Western Australia AUSTRALIA,7 km off Trigg surf beach,Western Australia,AUSTRALIA,-31.8744999,115.7531233
23,2020-04-27|A pearl farm in Roebuck Bay Western Australia AUSTRALIA,3.040888220388916,-3.601891390415984,-0.770180588323108,-1.1795549430970131,2.354573793293201,5.544017748063133,0.679706906692334,2020-04-27,A pearl farm in Roebuck Bay Western Australia AUSTRALIA,A pearl farm in Roebuck Bay,Western Australia,AUSTRALIA,-18.0858333,122.28305559999998
24,2020-04-27|Adelaide South Australia AUSTRALIA,1.072273089807045,-0.8009407022218922,-0.06834621577440712,-0.23555353151781958,0.635911336296832,0.40438322763082263,0.19173448203910026,2020-04-27,Adelaide South Australia AUSTRALIA,Adelaide,South Australia,AUSTRALIA,-34.9284989,138.6007456
25,2020-04-27|African Reef off Geraldton Western Australia AUSTRALIA,0.3231699191455473,-0.24260770156346972,-0.03610675229545488,-0.11115056969776918,0.2004860829070558,0.040194669439414854,0.05787534696758115,2020-04-27,African Reef off Geraldton Western Australia AUSTRALIA,African Reef off Geraldton,Western Australia,AUSTRALIA,-28.802443,114.61852209999999
26,2020-04-27|Albany Western Australia AUSTRALIA,0.3486707630432704,-0.17613094508210142,-0.022334554517792413,-0.12111675111170776,0.1880168353139934,0.03535033036148932,0.05214648772115937,2020-04-27,Albany Western Australia AUSTRALIA,Albany,Western Australia,AUSTRALIA,-35.0269344,117.8837206
27,2020-04-27|Albany incident took place 200 metres from swimmers Western Australia AUSTRALIA,0.3486707630432704,-0.17613094508210142,-0.022334554517792413,-0.12111675111170776,0.1880168353139934,0.03535033036148932,0.05214648772115937,2020-04-27,Albany incident took place 200 metres from swimmers Western Australia AUSTRALIA,Albany (incident took place 200 metres from swimmers),Western Australia,AUSTRALIA,-35.0269344,117.8837206
28,2020-04-27|Albert Park in Port Phillip Bay Victoria AUSTRALIA,0.27678660017792356,-0.3929409448659406,-0.02176422190167191,-0.006164708273513476,0.21478970601433756,0.04613461780972555,0.055458463622021094,2020-04-27,Albert Park in Port Phillip Bay Victoria AUSTRALIA,Albert Park in Port Phillip Bay,Victoria,AUSTRALIA,-37.8438609,144.95145359999998
29,2020-04-27|Aldinga Beach South Australia AUSTRALIA,0.9740550630218908,-0.6977358027433573,-0.0029660723834608383,-0.06945716066748403,0.5553759719681813,0.30844247023960214,0.17562530291492798,2020-04-27,Aldinga Beach South Australia AUSTRALIA,Aldinga Beach,South Australia,AUSTRALIA,-35.281,138.454
30,2020-04-27|Alexandra Headland near Mooloolaba Queensland AUSTRALIA,0.6234512496139019,-0.5529702178276477,-0.11744481734500896,-0.18628027681442805,0.3632842498837434,0.1319754462135941,0.10487112973136527,2020-04-27,Alexandra Headland near Mooloolaba Queensland AUSTRALIA,Alexandra Headland near Mooloolaba,Queensland,AUSTRALIA,-26.673000000000002,153.101
31,2020-04-27|Alma Bay Magnetic Island Townsville Queensland AUSTRALIA,0.4543249434791688,-0.6723638153671692,-0.14152348025979206,-0.10342054444825519,0.3677851097660746,0.13526588696564354,0.10617041606368961,2020-04-27,Alma Bay Magnetic Island Townsville Queensland AUSTRALIA,Alma Bay,Queensland,AUSTRALIA,-19.148322,146.868517
32,2020-04-27|Altona Melbourne Victoria AUSTRALIA,0.27517933342982065,-0.3909599409553001,-0.02212128282494891,-0.004077389946364188,0.21344573890111737,0.04555908345504397,0.055111452805530946,2020-04-27,Altona Melbourne Victoria AUSTRALIA,Altona,Victoria,AUSTRALIA,-37.863151200000004,144.81202180000002
33,2020-04-27|Amity Point North Stradbroke Island Queensland AUSTRALIA,0.8997163298346227,-0.7814536659145173,-0.16522585865139722,-0.27112006642569353,0.5453304622753306,0.29738531308542576,0.1574233445959826,2020-04-27,Amity Point North Stradbroke Island Queensland AUSTRALIA,Amity Point,Queensland,AUSTRALIA,-27.397250800000002,153.45375990000002
34,2020-04-27|Anglesea Victoria AUSTRALIA,0.8530030116985231,-1.0418457373297896,-0.14609551187423017,-0.20416182678762296,0.6000132737328902,0.3600159286556601,0.1732089125535164,2020-04-27,Anglesea Victoria AUSTRALIA,Anglesea,Victoria,AUSTRALIA,-38.4096639,144.18251709999998
35,2020-04-27|Angourie New South Wales AUSTRALIA,0.6165419114940354,-0.503577551833211,-0.1357808094187328,-0.23839202245022875,0.35902181349256423,0.12889666256348958,0.10824914971889012,2020-04-27,Angourie New South Wales AUSTRALIA,Angourie,New South Wales,AUSTRALIA,-29.479166999999997,153.359444
36,2020-04-27|Angourie near Yamba New South Wales AUSTRALIA,0.6165419114940354,-0.503577551833211,-0.1357808094187328,-0.23839202245022875,0.35902181349256423,0.12889666256348958,0.10824914971889012,2020-04-27,Angourie near Yamba New South Wales AUSTRALIA,Angourie,New South Wales,AUSTRALIA,-29.479166999999997,153.359444
