state,Date_Location,height_rise_max,height_rise_min,height_rise_mean,height_rise_median,height_rise_std,height_rise_var,height_rise_sem
RISING,2014.03.18_-28.8_153.583,0.6807313842095971,-0.6043848306100551,0.11595202796920166,0.17575744423542494,0.4692684879936778,0.22021291382387256,0.13546614393267928
RISING,2014.03.18_-38.368_144.285,0.7300998030212699,-0.6656167971844472,0.024995369821327062,-0.04901471639604746,0.5096728110483062,0.2597663743218824,0.14712986732868644
RISING,2014.03.29_-32.607_115.64,0.13763270628476476,-0.1492592632224657,-0.004945256336018315,-0.010945722209246538,0.09455204793052932,0.008940089767857113,0.02729482516256075
RISING,2014.04.03_-36.736_149.967,0.5468169931796432,-0.4832344736960636,0.05259506794940169,0.12252484995287173,0.3340386677302245,0.11158183153898334,0.10071644784830482
RISING,2014.05.14_-34.333_135.75,0.7114149060740256,-0.487855872631897,0.06970778606791377,0.050763914702397654,0.41934715435258757,0.1758520358636129,0.121055096224685
RISING,2014.05.22_-32.771_151.999,0.5985451846255071,-0.5208033320663842,0.09060118382205294,0.1583236163544952,0.3881846726558501,0.1506873400849295,0.1170420825969444
RISING,2014.05.27_-27.997_153.42,0.8639413902751899,-0.5708209346037384,0.12817649733290015,0.15474971529505677,0.46408999165438225,0.2153795203537646,0.1339712408049344
RISING,2014.06.01_-34.77_150.813,0.6277135964305289,-0.47019567019068254,0.10438439498493993,0.10881342198597221,0.3566478316359496,0.12719767581062466,0.09891631109588186
RISING,2014.06.09_-35.631_138.467,0.26248192481947574,-0.1774078003869334,0.002382441416963394,-0.022872756730711367,0.14002297783385095,0.01960643432145912,0.04221851631846679
RISING,2014.06.17_-17.947_122.231,3.732179387044265,-3.0258383618863487,0.5932388511436365,0.48230618994626767,2.541833775354111,6.4609189415309345,0.7663917193001912
RISING,2014.06.18_-35.514_138.708,0.393838267371333,-0.2588944974197003,0.004486976492115443,0.011346654585749981,0.22802278490114883,0.05199439043407559,0.0486146210863262
RISING,2014.09.09_-28.64_153.627,0.9826403270948204,-0.7024991913715697,0.17069619901802832,0.2350595179282925,0.5938012948875583,0.3525999778101409,0.17141566872424008
RISING,2014.10.02_-33.836_121.984,0.1877643232544505,-0.2167259610967834,0.001938220947007068,0.015390004585063663,0.14109671674512708,0.019908283476254625,0.0446186995286221
RISING,2014.10.11_-33.584_115.09,0.24946149657878458,-0.17566360618390697,0.0313872483524113,-0.005865413782711822,0.15489259162320135,0.023991714939751822,0.041396786400250775
RISING,2014.10.17_-33.465_151.435,0.4199305433329475,-0.2642022835848747,0.069305595330734,0.07571356253380304,0.2186707018416791,0.04781687584393253,0.06593169733204793
RISING,2014.10.30_-31.992_152.559,0.658357132900121,-0.5367075929054124,0.06920589607520826,0.10369926495685154,0.4181697460125532,0.17486593648020327,0.12071520771365252
RISING,2014.11.10_-30.19_153.15,0.8132431088929741,-0.561146531170402,0.06351357064582915,0.0577161093496477,0.4541213979931907,0.20622624411528986,0.1310935556880689
RISING,2014.11.19_-32.052_115.755,0.22268789554964774,-0.11275685851124938,0.023971177824991308,-0.04517062588346179,0.11491460536548395,0.013205366526304914,0.02967082352110112
RISING,2014.11.29_-32.604_115.63,0.10551292665973458,-0.1415204707682106,-0.00792255375954619,0.015523220101450897,0.09439801201886716,0.00891098467311419,0.028462071529276527
RISING,2014.12.15_-16.191_145.699,0.4568898117138807,-0.47743470978611235,0.04428050279298254,0.0761815527222815,0.29457582477131616,0.08677491653970117,0.0817006339019289
RISING,2014.12.28_-38.199_147.403,0.28574004877872444,-0.3107032960299266,0.053270759742817315,0.09216721450930428,0.1802252103464072,0.03248112644440672,0.05433994549835551
RISING,2014.12.29_-35.164_150.65,0.4799740322905219,-0.44409991145299765,0.08876236090341026,0.17947604598869238,0.3215700403888106,0.10340729087566128,0.09695701525355604
RISING,2015.01.16_-35.32_150.476,0.5118247877591796,-0.32080618587787035,0.06504401635515111,0.08036339895856762,0.27401484330141007,0.0750841343494963,0.07910127177101112
RISING,2015.01.17_-33.052_151.668,0.6464975420034127,-0.4390626525992283,0.0603193093665748,0.118691418981997,0.35788771122588586,0.12808361384650307,0.09926019182179852
RISING,2015.01.24_-35.234_150.53,0.7773435134691815,-0.5641758796361901,0.0872778555973704,0.07276915904609005,0.46622069569675617,0.21736173709596732,0.1474319290710012
RISING,2015.01.30_-27.989_153.426,0.6480604186400285,-0.3538497032832575,0.10491137243049518,0.12314372729945938,0.3400504408099219,0.1156343022950222,0.09816410676982967
RISING,2015.02.05_-32.947_151.76,0.7354181136740932,-0.5907193729915423,0.04389297423753303,0.0567770967062376,0.4494397985789497,0.20199613254668689,0.12465217223158544
RISING,2015.02.08_-28.719_153.612,0.6100604692421813,-0.4739710807563056,0.032681765033269305,-0.03158187093276701,0.37791912467183825,0.1428228647927284,0.11394690342145743
RISING,2015.02.09_-33.37_151.486,0.47741212114292697,-0.38519652151906364,0.027769460759530008,0.02444651632133129,0.3048204407558232,0.09291550110257432,0.09639268701648186
RISING,2015.03.11_-28.644_153.615,0.38669991139335713,-0.4685415803492998,-0.025975649993381512,-0.05747469308163483,0.31079770895009623,0.09659521588862871,0.09370903511723196
RISING,2015.04.11_-35.804_150.226,0.26598181745940463,-0.4582684333184639,-0.05985786894064753,-0.05406096852020239,0.2476298245902101,0.061320530026578224,0.07830742622930358
RISING,2015.04.24_-28.634_153.6,0.44439995161256945,-0.35813777334179336,-0.012179418933061431,-0.0074970245896109474,0.265467152951909,0.07047280929639223,0.08394808472883239
RISING,2015.04.25_-34.914_135.686,0.3316434030245809,-0.32723540166207976,0.01617574215968776,0.023069458626229764,0.2007417357863225,0.04029724448650572,0.060525910669808274
RISING,2015.05.03_-32.011_152.563,0.7175056279228056,-0.5711044510944436,0.0919641949034594,0.1240612717367525,0.4352152590902326,0.1894123217449783,0.12563582349558927
RISING,2015.06.24_-34.962_117.351,0.1064564454860231,-0.10549066520777452,0.006985519323394951,0.002270215849722162,0.0732490953245073,0.005365429965858757,0.018912835087771755
RISING,2015.06.25_-32.006_115.507,0.0901701576097886,-0.09439371810175383,0.0028661511225482788,0.006968735728056582,0.0705424704724781,0.004976240140360444,0.0223074878468205
RISING,2015.06.30_-29.437_153.365,0.8453162929422651,-0.5896293386676037,0.09846065092824925,0.10278925229941041,0.4710301714133861,0.22186942238172389,0.135974698130977
