state,Date_Location,height_fall_max,height_fall_min,height_fall_mean,height_fall_median,height_fall_std,height_fall_var,height_fall_sem
FALLING,2012.06.22_-43.63_146.79,0.26061304738792274,-0.37176895376920643,-0.0051702559528747135,0.08144828395834373,0.24902010151977533,0.062011010960919204,0.06906574958852293
FALLING,2012.07.07_-38.283_144.6,1.0966950363034518,-1.1351862412983489,-0.09113109334749678,-0.16985074897607233,0.7332616284478839,0.5376726157540425,0.221086699520602
FALLING,2012.07.14_-30.828_115.188,0.21901116026035794,-0.2125049054475108,0.004934843883536324,0.002292801471810475,0.16457134256020137,0.027083726792067147,0.04962012677429405
FALLING,2012.07.31_-32.797_134.211,0.6982442859900246,-0.5014075275347382,-0.048970967737526204,-0.14200372321900712,0.41360225748406565,0.17106682739591536,0.11939668734793112
FALLING,2012.08.11_-31.76_115.733,0.16876341255769078,-0.18899310230174268,-0.00854620339386884,-0.01450744748821335,0.1282963997979419,0.01645996620111335,0.03868282000756379
FALLING,2012.10.02_-31.779_115.733,0.22808205913942536,-0.15585556203953702,-0.016309658565513346,-0.04274878241422039,0.12288986025102588,0.015101917752516672,0.038861185973303326
FALLING,2012.11.27_-26.682_153.118,0.7415930477908075,-0.67869925408003,-0.07392910759242129,-0.11186200152265204,0.4677884650799783,0.21882604806188208,0.13503889811886366
FALLING,2012.12.02_-35.272_150.516,0.5971650975657368,-0.5541964930006854,-0.07743057041447707,-0.11972341734524303,0.358024841633394,0.12818178722661686,0.09929822495377512
FALLING,2012.12.19_-31.878_115.752,0.11413789064335958,-0.12388354633519395,-0.007923257720347479,-0.014945009219013504,0.09260159409525529,0.00857505522898242,0.02928319523034059
FALLING,2012.12.28_-31.735_152.792,0.707377702168719,-0.576558912178036,-0.09276713170655297,-0.1858374450787526,0.43630245703900333,0.19035983401827136,0.12594967050978187
FALLING,2012.12.30_-33.746_151.304,0.6935063203318366,-0.6153422757457319,-0.12935387051928068,-0.21904696930552045,0.4217832728198943,0.1779011292306614,0.12175834305112368
FALLING,2013.01.05_-20.385_116.876,1.2000887280283887,-1.191438201869657,-0.1349215063058488,-0.1410265075608923,0.8139475554232822,0.6625106229795371,0.2257484343551701
FALLING,2013.01.21_-26.807_153.132,0.4447188663832439,-0.496889834264973,-0.059181702125915524,-0.07215203732699199,0.29313365002546204,0.08592733677725005,0.08462039587536904
FALLING,2013.01.25_-26.365_152.968,0.7452638262412049,-0.5097193555532378,-0.008782580863103124,-0.0763983832009912,0.42498357357943073,0.1806110378123434,0.1281373686933971
FALLING,2013.01.26_-38.385_141.565,0.3846600428262867,-0.3238697782259488,-0.04508170831085147,-0.1066014984479987,0.22490326497021945,0.050581478594264734,0.062376942605337715
FALLING,2013.03.10_-28.802_114.619,0.18620925892824575,-0.24915804697182736,-0.046192678515548764,-0.03384710519038271,0.11754037332673661,0.013815739361788615,0.03543975600391666
FALLING,2013.04.02_-31.951_115.86,0.23980760109812324,-0.1859808766363441,0.040540554437665785,0.055288212273175694,0.1535557792785544,0.02357937734984412,0.04855860104023191
FALLING,2013.04.21_-31.844_152.727,0.4407713763683735,-0.5098172422520441,-0.07656140729051522,-0.14732329726565738,0.3250613058085157,0.10566485253393738,0.09015578505860644
FALLING,2013.04.28_-30.157_153.15,0.9121538711171533,-0.7582910858906597,-0.19275862182787065,-0.3308147172234731,0.5340784060743555,0.2852397438349242,0.15417515575769772
FALLING,2013.06.06_-35.071_150.783,0.5784437173906684,-0.471277073892258,-0.06220196613761933,-0.14790449088791482,0.3515467991675531,0.1235851520049519,0.10599534809901798
FALLING,2013.07.02_-38.474_145.022,0.8647693237952762,-0.7372929989894753,0.05761669170200178,0.16718301161424223,0.5858787771153426,0.3432539414741693,0.17664909784762284
FALLING,2013.08.25_-31.253_146.921,0.5325760093594738,-0.5042715302186204,-0.03168874818973578,-0.05954951390514753,0.36214781970392845,0.13115104331630908,0.10454307059624958
FALLING,2013.10.24_-33.71_151.303,0.5350094638153483,-0.4414542367733323,-0.03641358495489355,-0.06906447499486823,0.31111778372439275,0.09679427534957802,0.08314972525922226
FALLING,2013.10.26_-31.812_115.709,0.19048148890250974,-0.14051482654257702,0.0012070767908175563,-0.01933451977733198,0.1272820298178316,0.01620071511454737,0.03674315708916352
FALLING,2013.10.28_-22.096_113.889,0.21483799897092445,-0.26541916880694566,-0.01161086946788469,0.0004122352007310598,0.158072465913462,0.024986904479962605,0.043841413930001606
FALLING,2013.11.12_-31.878_115.752,0.11039231271178429,-0.08252662838474517,0.0005178998485567009,-0.0026477313296721966,0.05679295343416927,0.0032254395597757194,0.015178555266690567
FALLING,2013.11.23_-33.864_114.988,0.24311689775744533,-0.19462220438940517,-0.009148167407202423,-0.04026583141720969,0.16676391670865812,0.027810203916012258,0.05273538083299698
FALLING,2013.11.30_-30.238_153.152,0.5412224117056755,-0.5073435729657332,-0.05995817358688689,-0.09336993669712702,0.3694360173023392,0.1364829708802143,0.11682592643767661
FALLING,2013.12.05_-31.454_152.931,0.8244638334748516,-0.7944164629684369,-0.20386928619589992,-0.38035929461949364,0.5289432048390529,0.27978091394540827,0.15948237689629427
FALLING,2014.01.26_-33.529_151.308,0.4467488401001575,-0.4604111584022641,-0.10463909183345545,-0.1565507631340595,0.299655334583401,0.08979331954428998,0.08650304404291698
FALLING,2014.02.08_-35.152_137.685,0.3904469627111178,-0.43668939026095643,-0.04428908762930783,-0.05395101046234624,0.2610654629594354,0.06815517595022434,0.07240653176561455
FALLING,2014.03.12_-31.479_152.93,0.5149425071443623,-0.4486074849027037,-0.018980029639554048,-0.054052437697278126,0.3184056097043172,0.10138213229117798,0.0960029035030513
FALLING,2014.03.18_-28.8_153.583,0.6532159443595228,-0.6836979473855902,-0.12915990374264322,-0.21605998932637588,0.48093077272698886,0.23129440815577862,0.13883275554775087
FALLING,2014.03.18_-38.368_144.285,0.6360846282877758,-0.6717500626026021,-0.04052431318532756,-0.04315466483692153,0.4950563251808909,0.24508076510160795,0.14291045130360713
FALLING,2014.03.29_-32.607_115.64,0.12418528218774981,-0.16290163594431306,-0.013850208639256298,-0.005371229672433516,0.09824022426857781,0.009651141664340465,0.028359509963356306
FALLING,2014.04.03_-36.736_149.967,0.6371547608217688,-0.5645109233704478,-0.07565966579841503,-0.09223512355848901,0.3894038540845311,0.1516353615758868,0.10800119713577495
