state,Date_Location,height_high_tide_max,height_high_tide_min,height_high_tide_mean
HIGH TIDE,1951.03.24_-33.869_151.209,0.7050812975300589,0.6826265772050055,0.6938539373675322
HIGH TIDE,1951.03.26_-33.63_151.33,0.7791843882000412,0.5323456155435845,0.6557650018718129
HIGH TIDE,1951.09.02_-23.266_150.359,2.1707728699529647,1.7258690828999168,1.9483209764264409
HIGH TIDE,1951.12.06_-32.947_151.76,0.5232141180298148,0.5232141180298148,0.5232141180298148
HIGH TIDE,1951.12.16_-33.888_151.281,0.7167442932508908,0.20043614357311973,0.4585902184120053
HIGH TIDE,1952.12.21_-38.015_140.582,0.4633713732024074,-0.010091805729176614,0.2266397837366154
HIGH TIDE,1953.01.20_-34.821_138.494,0.8692009603417223,0.6930256890874289,0.7811133247145756
HIGH TIDE,1953.03.19_-34.721_135.879,0.721959703516105,0.10553071785977955,0.41374521068794223
HIGH TIDE,1953.03.22_-33.742_151.317,0.5528238423404722,0.08467719173798295,0.3187505170392276
HIGH TIDE,1954.01.22_-10.254_142.481,1.722146260261947,0.24053249360413417,0.9813393769330406
HIGH TIDE,1954.06.27_-16.934_145.994,1.1123044577055976,0.5082847855220185,0.810294621613808
HIGH TIDE,1954.12.11_-38.283_144.6,1.1587430032103723,0.653977588957253,0.9063602960838126
HIGH TIDE,1955.01.17_-33.82_151.251,0.4240814505191478,0.13545294769943353,0.27976719910929065
HIGH TIDE,1955.02.01._-33.834_151.092,0.5873779632649425,0.22500680478973478,0.40619238402733865
HIGH TIDE,1955.02.05_-33.786_151.226,0.8642681957353965,0.35058971342125117,0.6074289545783238
HIGH TIDE,1956.01.05_-33.888_151.281,0.45236862501892056,0.31317616112245356,0.38277239307068706
HIGH TIDE,1956.03.11_-34.057_151.152,0.6310096836555132,0.478245959740903,0.5546278216982081
HIGH TIDE,1956.06.28_-9.444_147.18,0.4940219878856393,-0.0188350148642514,0.23759348651069395
HIGH TIDE,1957.04.13_-10.591_142.221,0.6795595720974572,0.6520214183305659,0.6657904952140116
HIGH TIDE,1957.04.23_-32.947_151.76,0.24379045018326811,0.24379045018326811,0.24379045018326811
HIGH TIDE,1957.05.11_-32.66_152.152,0.7624650968765142,0.5382194224886928,0.6503422596826035
HIGH TIDE,1957.07.09_-10.58_142.219,1.2790430438962554,-0.08317185717180611,0.5979355933622247
HIGH TIDE,1957.11.04_-30.749_152.994,0.5341360731517208,0.4542252426049096,0.4941806578783152
HIGH TIDE,1958.01.19_-28.556_153.544,0.9052350581975929,0.3670529425178066,0.6361440003576997
HIGH TIDE,1958.01.27_-35.207_150.552,0.381026524570103,0.2857601317795419,0.3333933281748225
HIGH TIDE,1958.06.15_-16.76_145.974,0.8939097999426873,0.4051215436592015,0.6495156718009444
HIGH TIDE,1958.11.23_-28.0_153.417,0.7120508504161606,0.41201863554168366,0.5620347429789221
HIGH TIDE,1959.01.17_-43.163_147.855,0.2991519508141008,0.04470365133135869,0.17192780107272973
HIGH TIDE,1959.01.25_-39.875_143.937,0.47320469960375167,0.07635031904015382,0.2747775093219528
HIGH TIDE,1959.01.31_-31.981_115.864,0.15861613229349844,0.15861613229349844,0.15861613229349844
HIGH TIDE,1959.02.28_-38.173_144.873,0.3540062901053331,0.2927603758900747,0.3233833329977039
HIGH TIDE,1959.04.05_-34.315_150.91,0.5601116245333354,0.4951902242079584,0.5276509243706469
HIGH TIDE,1959.11.09_-31.951_115.86,0.09452590000689658,0.04265496525542599,0.06859043263116128
HIGH TIDE,1959.11.22_-28.006_153.431,0.5729203358346762,0.15950093461016956,0.36621063522242286
HIGH TIDE,1959.11.28_-28.077_153.447,0.9648948451503773,0.5876989521406792,0.7762968986455283
HIGH TIDE,1959.12.11_-37.863_144.812,0.43976424086393456,0.14368499155695075,0.29172461621044266
HIGH TIDE,1959.12.19_-27.444_153.174,1.0482433204588282,0.486318104607649,0.7672807125332386
HIGH TIDE,1959.12.28_-33.884_151.157,0.8984351569042106,0.45009484475564115,0.6742650008299259
HIGH TIDE,1959.12.29_-27.252_153.11,1.4723824937676417,0.8429689614895992,1.1576757276286205
HIGH TIDE,1960.01.07_-43.02_147.925,0.34161178999022684,0.09397562538367736,0.2177937076869521
HIGH TIDE,1960.01.13_-28.78_114.614,0.3185107649381407,-0.018384600411610507,0.1500630822632651
HIGH TIDE,1960.01.16_-33.773_151.204,0.7499189536964491,0.37236941113738126,0.5611441824169152
HIGH TIDE,1960.02.07_-34.075_151.057,0.4648474966368826,0.16689260277003548,0.315870049703459
HIGH TIDE,1960.02.10._-33.891_151.277,0.6401734484252046,0.29772533427897374,0.4689493913520892
HIGH TIDE,1960.02.29_-42.97_147.43,0.2832046736993065,0.241985085396142,0.26259487954772426
HIGH TIDE,1960.04.03_-32.616_152.314,0.44608350487159726,0.16673325470969724,0.3064083797906473
HIGH TIDE,1960.04.03_-38.192_145.095,0.3560891390339002,0.3235504668921806,0.3398198029630404
HIGH TIDE,1960.04.10_-32.006_115.507,0.11667642251351466,0.10372018461130107,0.11019830356240787
HIGH TIDE,1960.04.12_-30.884_153.039,0.8494165977532078,0.8494165977532078,0.8494165977532078
HIGH TIDE,1960.04.22_-32.006_115.507,0.07914726825839871,0.07008808151222899,0.07461767488531384
HIGH TIDE,1960.09.18_-35.094_117.95,0.27283665293613596,0.07078016660762798,0.17180840977188197
HIGH TIDE,1960.11.11_-27.252_153.11,0.6446379565615789,0.22630271150862766,0.43547033403510327
HIGH TIDE,1960.11.27_-21.063_149.188,1.8988814190386158,1.5152923177000188,1.7070868683693172
HIGH TIDE,1960.12.01_-27.557_152.803,1.1576878393886034,0.8102006584409132,0.9839442489147583
HIGH TIDE,1960.12.20_-26.895_152.319,1.1548726442747304,0.4650735267098998,0.8099730854923151
HIGH TIDE,1960.12.27._-33.891_151.277,0.5053585653268667,0.3222468064946987,0.41380268591078273
HIGH TIDE,1961.01.06_-12.467_130.85,2.7039476918213605,1.9705565313026259,2.3372521115619933
HIGH TIDE,1961.01.15_-28.196_153.578,1.0840100516700069,0.4401446318178416,0.7620773417439242
HIGH TIDE,1961.02.01_-32.121_115.662,0.27729220509453323,-0.04414320443218225,0.11657450033117549
HIGH TIDE,1961.02.17_-38.264_145.016,0.21083841534022155,0.15971831135030395,0.18527836334526276
HIGH TIDE,1961.03.18_-38.397_142.473,0.26387928166662106,0.2568282228293612,0.2603537522479911
HIGH TIDE,1961.04.03_-37.908_145.101,0.14100746211506715,-0.08324821717637969,0.02887962246934373
HIGH TIDE,1961.04.14_-30.642_152.998,0.7793258204989483,0.7689445882331875,0.7741352043660679
HIGH TIDE,1961.04.16_-34.217_151.0,0.7604007699708604,0.5809999517051558,0.6707003608380081
HIGH TIDE,1961.04.25_-30.88_153.058,0.48918638465427383,0.31247776914949027,0.40083207690188205
HIGH TIDE,1961.05.07_-31.661_115.696,0.1953526002348933,0.1953526002348933,0.1953526002348933
HIGH TIDE,1961.07.07_-27.033_153.467,0.5849236522284066,0.3631718950592608,0.47404777364383366
HIGH TIDE,1961.09.06_-17.964_122.23,1.3482603383694305,1.1460372440645357,1.2471487912169832
HIGH TIDE,1961.12.13_-10.58_142.219,0.9734515731101554,0.48490920410847793,0.7291803886093167
HIGH TIDE,1961.12.27_-31.852_115.751,0.19495538490969958,0.19495538490969958,0.19495538490969958
