Date_Location,timestamp,datetime,datum,LAT,HAT
2016.03.30_-34.656_150.856,1459256400,2016-03-29T13:00:00+00:00,MSL,-0.854715576171875,1.0285357666015624
2016.03.28_-34.05_151.157,1459083600,2016-03-27T13:00:00+00:00,MSL,-0.8580573272705078,1.0385281372070312
2016.03.03_-37.033_139.741,1456925400,2016-03-02T13:30:00+00:00,MSL,-0.552247314453125,0.6168231582641601
2016.02.10_-40.93_144.62,1455022800,2016-02-09T13:00:00+00:00,MSL,-0.5018727111816407,0.6172378540039063
2016.02.05_-27.532_153.463,1454594400,2016-02-04T14:00:00+00:00,MSL,-0.8956623840332031,1.1910102081298828
2016.02.04_-33.098_151.658,1454504400,2016-02-03T13:00:00+00:00,MSL,-0.8721678924560546,1.0741928100585938
2016.01.11_-26.807_153.134,1452434400,2016-01-10T14:00:00+00:00,MSL,-0.9471244049072266,1.2240269470214844
2016.01.02_-23.153_150.905,1451656800,2016-01-01T14:00:00+00:00,MSL,-2.583948669433594,2.8121994018554686
2015.12.21_-33.891_151.277,1450616400,2015-12-20T13:00:00+00:00,MSL,-0.8615251159667969,1.0466612243652345
2015.12.13_-33.031_151.56,1449925200,2015-12-12T13:00:00+00:00,MSL,-0.8721678924560546,1.0741928100585938
2015.11.10_-28.854_153.587,1447074000,2015-11-09T13:00:00+00:00,MSL,-0.8866371154785156,1.1665674591064452
2015.10.07_-32.604_115.63,1444147200,2015-10-06T16:00:00+00:00,MSL,-0.43359607696533203,0.4594403076171875
2015.09.26_-17.229_146.094,1443189600,2015-09-25T14:00:00+00:00,MSL,-1.5129347229003907,1.5807850646972657
2015.09.08_-33.37_151.486,1441634400,2015-09-07T14:00:00+00:00,MSL,-0.8683502197265625,1.0624525451660156
2015.09.04_-32.068_152.515,1441288800,2015-09-03T14:00:00+00:00,MSL,-0.8732811737060547,1.1130268096923828
2015.08.22_-31.479_152.93,1440165600,2015-08-21T14:00:00+00:00,MSL,-0.8706361389160157,1.1227922058105468
2015.07.31_-29.109_153.422,1438264800,2015-07-30T14:00:00+00:00,MSL,-0.8919248962402344,1.1726897430419922
2015.07.27_-38.217_141.783,1437919200,2015-07-26T14:00:00+00:00,MSL,-0.5955508422851562,0.5941074752807617
2015.07.25_-42.643_147.978,1437746400,2015-07-24T14:00:00+00:00,MSL,-0.732027359008789,0.7016661071777344
2015.07.23_-38.251_141.806,1437573600,2015-07-22T14:00:00+00:00,MSL,-0.5955508422851562,0.5941074752807617
2015.07.03_-28.8_153.583,1435845600,2015-07-02T14:00:00+00:00,MSL,-0.8868402099609375,1.1673131561279297
2015.07.02_-28.854_153.587,1435759200,2015-07-01T14:00:00+00:00,MSL,-0.8866371154785156,1.1665674591064452
2015.06.30_-29.437_153.365,1435586400,2015-06-29T14:00:00+00:00,MSL,-0.8917601013183594,1.165411376953125
2015.06.25_-32.006_115.507,1435161600,2015-06-24T16:00:00+00:00,MSL,-0.43395423889160156,0.46272380828857423
2015.06.24_-34.962_117.351,1435075200,2015-06-23T16:00:00+00:00,MSL,-0.5060247421264649,0.5597885131835938
2015.05.03_-32.011_152.563,1430575200,2015-05-02T14:00:00+00:00,MSL,-0.8732811737060547,1.1130268096923828
2015.04.25_-34.914_135.686,1429885800,2015-04-24T14:30:00+00:00,MSL,-0.5190165710449218,0.7080857849121094
2015.04.24_-28.634_153.6,1429797600,2015-04-23T14:00:00+00:00,MSL,-0.8891409301757812,1.1658721160888672
2015.04.11_-35.804_150.226,1428674400,2015-04-10T14:00:00+00:00,MSL,-0.8425437927246093,0.993175277709961
2015.03.11_-28.644_153.615,1425992400,2015-03-10T13:00:00+00:00,MSL,-0.8891409301757812,1.1658721160888672
2015.02.09_-33.37_151.486,1423400400,2015-02-08T13:00:00+00:00,MSL,-0.8683502197265625,1.0624525451660156
2015.02.08_-28.719_153.612,1423314000,2015-02-07T13:00:00+00:00,MSL,-0.8881761169433594,1.1683778381347656
2015.02.05_-32.947_151.76,1423054800,2015-02-04T13:00:00+00:00,MSL,-0.8734986114501954,1.0784809112548828
2015.01.30_-27.989_153.426,1422540000,2015-01-29T14:00:00+00:00,MSL,-0.8968395233154297,1.1862823486328125
2015.01.24_-35.234_150.53,1422018000,2015-01-23T13:00:00+00:00,MSL,-0.8454113006591797,1.0022213745117188
2015.01.17_-33.052_151.668,1421413200,2015-01-16T13:00:00+00:00,MSL,-0.8721678924560546,1.0741928100585938
2015.01.16_-35.32_150.476,1421326800,2015-01-15T13:00:00+00:00,MSL,-0.8441047668457031,1.0007308197021485
2014.12.29_-35.164_150.65,1419771600,2014-12-28T13:00:00+00:00,MSL,-0.8473420715332032,1.0063471221923828
2014.12.28_-38.199_147.403,1419685200,2014-12-27T13:00:00+00:00,MSL,-0.7649600219726562,0.8139237976074218
2014.12.15_-16.191_145.699,1418565600,2014-12-14T14:00:00+00:00,MSL,-1.4590480041503906,1.5178468322753906
2014.11.29_-32.604_115.63,1417190400,2014-11-28T16:00:00+00:00,MSL,-0.43359607696533203,0.4594403076171875
2014.11.19_-32.052_115.755,1416326400,2014-11-18T16:00:00+00:00,MSL,-0.4351004028320313,0.4642658233642578
2014.11.10_-30.19_153.15,1415538000,2014-11-09T13:00:00+00:00,MSL,-0.8831946563720703,1.138968505859375
2014.10.30_-31.992_152.559,1414587600,2014-10-29T13:00:00+00:00,MSL,-0.8756861114501953,1.1142408752441406
2014.10.17_-33.465_151.435,1413464400,2014-10-16T13:00:00+00:00,MSL,-0.8683502197265625,1.0624525451660156
2014.10.11_-33.584_115.09,1412956800,2014-10-10T16:00:00+00:00,MSL,-0.487705192565918,0.49474563598632815
